data,model,RMSE
Test,LSTM,2.520375628949309
Test,GRU,2.5311456852047467
Test,Bi-LSTM,2.5408504036413038
Train,LSTM,2.570057663896389
Train,Bi-LSTM,2.5844968044267946
Train,GRU,2.5928296579594154
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
