data,model,RMSE
Test,GRU,2.4894274524655704
Test,LSTM,2.5103943421209935
Test,Bi-LSTM,2.521628406192301
Train,GRU,2.5277209863541996
Train,LSTM,2.537617148763086
Train,Bi-LSTM,2.5542699981041914
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
