Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
163,1,0,0,0,0,2,-1,9
164,0,0,0,0,0,0,1,-3
165,-1,-1,0,1,0,1,0,-1
166,1,1,-1,-1,1,1,-2,6
167,0,0,0,0,0,-2,3,-3
168,0,1,0,0,0,1,0,2
169,0,1,0,1,0,0,1,-3
170,0,1,0,0,0,-2,3,-5
171,1,1,-1,-1,1,-1,1,-3
172,1,0,0,0,0,2,-1,5
173,1,0,0,1,0,-3,4,-3
174,1,-1,1,0,0,1,0,4
175,0,1,0,1,0,8,-7,0
176,-1,-1,0,0,0,-1,2,-3
177,0,1,0,1,0,-2,3,1
178,0,0,0,0,0,-4,2,-4
180,0,1,0,0,-1,-1,-2,9
181,0,0,1,0,0,0,-1,3
182,-1,0,0,0,0,0,1,-3
183,-1,-1,0,0,1,-2,2,-3
184,0,1,0,0,0,0,1,4
185,1,1,-1,-1,2,-4,1,-2
186,-1,0,0,0,0,-1,2,-2
191,0,0,1,0,0,0,-1,7
192,0,1,0,2,-1,-1,0,8
193,0,1,0,1,0,4,-5,27
199,0,0,0,0,0,9,-9,0
200,0,0,-1,-1,0,-2,2,-2
202,-1,1,0,0,1,-5,5,3
203,0,0,0,0,-2,2,-2,6
204,-1,-1,0,0,0,-1,2,-3
206,1,-1,1,0,0,1,0,0
207,0,1,0,1,0,0,-2,3
208,-1,-1,-1,-1,-1,1,1,-1
209,-1,0,0,0,0,1,0,2
210,1,1,-1,-1,0,2,-4,6
211,0,0,0,0,0,3,-2,8
212,0,1,0,0,-1,2,0,0
213,1,1,-1,-1,0,0,-1,8
214,0,1,0,0,1,-7,4,-6
215,0,1,0,0,0,10,-9,18
216,1,0,0,0,0,0,1,-1
217,-1,1,1,0,0,3,-2,6
218,-1,0,1,0,0,5,-4,5
219,-1,-1,-1,-1,-1,-1,3,-6
220,0,1,0,1,0,0,1,2
221,-1,0,1,0,0,4,-3,3
222,1,0,0,1,0,0,1,2
223,-2,-2,0,0,0,-3,3,-3
224,0,1,0,0,0,1,0,-2
225,0,0,-1,0,0,1,0,1
226,2,-2,1,0,0,0,-2,13
227,-1,-1,-1,-1,0,-2,3,-4
228,1,0,0,1,0,0,-14,15
229,0,2,-1,2,0,7,-6,-2
230,0,0,1,-1,1,-2,2,6
231,0,0,0,0,0,1,0,1
232,0,1,0,0,0,0,-2,-2
233,3,-2,0,0,1,1,-3,16
234,2,-2,1,1,-1,0,2,-4
235,-1,-1,1,0,0,0,1,-6
236,0,1,0,1,0,0,1,3
237,-1,2,0,0,0,2,-1,1
238,0,0,0,0,0,0,1,-3
239,1,-1,1,0,0,2,-1,6
240,0,1,0,1,0,2,-1,4
242,0,0,0,0,0,2,-1,2
243,-2,-2,-1,-1,2,-2,1,-6
244,2,-1,0,1,0,1,-3,-3
245,-1,-1,-1,-1,0,-2,2,-2
246,0,0,1,-1,1,2,-2,18
247,0,0,0,0,0,0,1,-2
248,0,0,0,0,1,1,-1,2
249,-1,-1,0,0,0,-1,2,-1
250,0,1,0,0,-1,2,0,4
251,0,1,0,3,-2,16,-13,-10
252,4,-2,-1,-1,0,3,-2,2
253,0,0,0,0,0,-4,4,-4
254,-1,0,0,0,0,-2,3,0
255,-1,-1,-1,-1,1,-3,2,-2
256,1,0,0,1,0,0,-1,-1
257,-1,-1,0,0,0,0,1,0
258,0,0,0,0,0,2,-1,3
260,2,-1,0,1,0,0,-1,11
261,0,0,0,0,0,-1,2,-3
262,-2,-2,-1,-1,0,-1,2,1
263,0,1,0,0,-1,4,-2,5
264,0,0,0,0,-1,2,0,5
265,1,-1,1,0,0,-1,1,-3
266,0,0,1,0,0,0,1,2
267,0,0,0,0,0,-1,2,-2
268,0,0,0,0,0,-5,3,-5
269,0,0,0,0,0,-2,3,-7
270,-1,-1,-1,-1,0,-1,2,1
271,0,0,0,0,0,0,1,-3
272,1,-1,1,0,0,1,0,-2
273,0,2,-1,-1,1,0,0,0
274,-2,-2,0,0,-1,2,0,1
275,-1,-1,0,0,0,3,-2,8
276,0,0,0,0,0,3,-2,11
277,1,0,0,0,0,0,1,0
278,2,-1,0,0,0,6,-5,1
279,0,0,0,0,1,-1,1,-1
280,1,0,0,0,0,3,-2,3
281,0,1,0,0,0,4,-3,4
282,2,0,-1,0,1,0,0,0
283,0,1,0,0,0,0,-1,-1
284,0,2,-1,-1,1,-2,2,-4
286,0,0,0,0,1,-2,2,-4
287,0,1,0,0,0,2,-1,5
288,0,0,-1,0,-1,2,0,0
289,0,0,0,0,0,0,-2,8
290,1,0,0,0,-1,-2,2,-3
291,-3,-3,0,0,0,0,1,-6
292,-1,-1,1,0,0,2,-3,8
293,-2,-2,0,1,0,0,1,-6
294,-1,-1,0,0,1,-4,2,-3
295,0,0,-1,-1,1,-1,1,0
296,0,0,0,0,-1,0,2,-3
297,0,0,0,0,0,0,1,-3
298,-1,-1,0,0,1,-6,2,-5
299,-1,-1,0,0,-1,2,0,2
301,2,-2,1,1,-1,-1,-3,14
302,0,0,0,0,0,0,1,-1
303,1,0,0,0,0,0,1,6
305,0,0,0,0,0,1,0,-1
306,1,0,0,1,0,3,-2,6
307,0,0,0,0,0,0,1,-4
308,0,0,-1,-1,0,-4,2,-4
309,0,1,0,0,0,3,-2,10
310,-1,-1,-1,-1,1,-1,1,0
312,0,0,0,0,0,-2,3,-4
313,0,1,0,0,0,2,-1,19
314,-1,-1,0,0,0,-2,3,-2
315,0,0,0,0,0,2,-1,3
317,-1,-1,0,0,0,-1,2,-3
318,0,1,0,0,0,0,-5,6
319,1,0,0,1,0,1,0,7
320,-1,-1,0,0,-1,1,1,-2
321,0,1,-1,-1,1,-5,5,-5
322,0,0,1,0,0,-2,3,-3
323,0,2,-1,2,0,3,-2,7
324,-1,-1,0,0,0,0,1,-1
325,2,-1,0,1,0,0,0,7
326,-1,-1,0,0,1,-6,1,-5
327,-1,2,0,0,0,0,1,-3
328,0,1,0,0,0,-1,2,-3
329,-1,-1,0,0,0,-1,2,-3
330,0,0,-1,-1,0,1,0,3
331,0,1,0,0,0,10,-9,1
332,-1,-1,-1,-1,0,1,0,-1
333,0,0,1,0,0,-2,3,-2
334,0,1,0,1,0,1,0,0
335,1,0,0,0,-1,-1,-2,-2
336,0,0,1,0,0,-4,3,-4
