data,model,RMSE
Test,GRU,2.541404533881979
Test,LSTM,2.549782395507513
Test,Bi-LSTM,2.578375186719246
Train,LSTM,2.5900549947361213
Train,GRU,2.597545741960806
Train,Bi-LSTM,2.6097488860614395
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
