data,model,RMSE
Test,GRU,2.4894205286040108
Test,LSTM,2.525270620661857
Train,GRU,2.531506100235792
Test,Bi-LSTM,2.541342995978866
Train,LSTM,2.557307225764355
Train,Bi-LSTM,2.5824457712317
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
