data,model,RMSE
Train,LSTM,2.5208550557341485
Test,LSTM,2.5389025185823795
Test,Bi-LSTM,2.6009614469542175
Train,Bi-LSTM,2.604261734275899
Test,GRU,2.6802714804282766
Train,GRU,2.6810905403048215
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
