data,model,RMSE
Test,GRU,2.477967189153752
Test,Bi-LSTM,2.514802015817632
Test,LSTM,2.522622666560641
Train,GRU,2.5306683906944034
Train,Bi-LSTM,2.5512413817131736
Train,LSTM,2.555567210465655
Test,7DMA,3.3778638223698167
Train,7DMA,3.749271312706015
